Finland Helsinki
Sweden Stockholm
Norway Oslo
Spain Madrid
Austria Vienna
Belarus Minsk
Bulgaria Sofia
Croatia Zagreb
Denmark Copenhagen
Estonia Tallinn
Belgium Sofia
Albania Tirana
France Paris
Germany Berlin
Greece Athens
Hungary Budapest
Iceland Reykjavik
Ireland Dublin
Italy Rome
Latvia Riga
Lithuania Vilnius
Malta Valletta
Moldova Chisinau
Monaco Monaco
Montenegro Podgoria
Netherlands Amstrdam
North-Macedonia Skopje
Poland Warsaw
Portugal Lisbon
Romania Bucharest
Russia Moscow
San-Marino San-Marino
Serbia Belgrade
Slovakia Bratislava
Slovenia Ljubljana
Switzerland Bern
Ukraine Kiev
United-Kingdom London
United-States Wahington-D.C
Mexico Mexico
Japan Tokyo
China Honkong
Australia Canberra
India New-Delhi
Malaysia Kuala-Lumpur
Maledives Male
Singapore Singapore
Turkey Ankara
Vietnam Hanoi
South-Korea Seoul
Thailand Bangkok
